date,weekly_cases,population,t2m_mean,rain_mm,rh_mean
2019-01-07,62,2500000,27.27,100.88,57.17
2019-01-14,74,2500000,26.07,128.87,49.59
2019-01-21,62,2500000,26.76,125.49,65.84
2019-01-28,77,2500000,27.77,119.91,68.33
2019-02-04,87,2500000,26.87,106.13,62.13
2019-02-11,70,2500000,28.24,119.41,64.55
2019-02-18,76,2500000,29.36,124.34,55.74
2019-02-25,81,2500000,30.3,135.66,62.82
2019-03-04,86,2500000,31.52,116.49,56.89
2019-03-11,78,2500000,29.16,123.64,66.94
2019-03-18,82,2500000,29.72,123.44,60.66
2019-03-25,73,2500000,31.44,113.9,73.68
2019-04-01,83,2500000,30.31,113.15,72.06
2019-04-08,82,2500000,30.3,108.01,76.92
2019-04-15,72,2500000,29.87,100.93,70.81
2019-04-22,80,2500000,30.87,78.69,81.16
2019-04-29,61,2500000,29.07,62.24,73.59
2019-05-06,65,2500000,28.06,75.67,70.36
2019-05-13,64,2500000,27.87,38.83,71.91
2019-05-20,67,2500000,25.42,32.23,78.38
2019-05-27,80,2500000,28.11,42.7,70.02
2019-06-03,65,2500000,26.73,28.95,69.2
2019-06-10,48,2500000,27.7,28.61,73.87
2019-06-17,41,2500000,25.63,13.21,64.61
2019-06-24,55,2500000,24.75,0.0,69.5
2019-07-01,65,2500000,24.12,13.5,77.27
2019-07-08,50,2500000,23.23,0.0,80.49
2019-07-15,45,2500000,24.15,0.0,69.56
2019-07-22,59,2500000,23.37,0.0,76.46
2019-07-29,56,2500000,22.79,0.0,68.4
2019-08-05,57,2500000,23.0,0.0,80.45
2019-08-12,47,2500000,20.57,0.0,69.98
2019-08-19,57,2500000,20.23,0.0,66.26
2019-08-26,44,2500000,21.0,0.0,63.82
2019-09-02,42,2500000,20.3,0.0,74.12
2019-09-09,49,2500000,20.58,0.0,64.88
2019-09-16,53,2500000,20.65,0.0,61.79
2019-09-23,33,2500000,18.33,0.0,65.15
2019-09-30,47,2500000,19.55,7.16,54.66
2019-10-07,46,2500000,18.68,0.66,64.96
2019-10-14,40,2500000,22.01,1.57,64.13
2019-10-21,36,2500000,20.53,12.82,62.26
2019-10-28,50,2500000,21.54,7.68,64.44
2019-11-04,39,2500000,22.64,26.48,58.36
2019-11-11,36,2500000,22.18,44.89,53.08
2019-11-18,39,2500000,21.49,51.68,61.28
2019-11-25,58,2500000,23.22,57.85,59.0
2019-12-02,51,2500000,20.38,82.5,46.31
2019-12-09,58,2500000,23.44,68.97,48.55
2019-12-16,65,2500000,25.56,84.2,56.92
2019-12-23,53,2500000,24.95,101.79,55.87
2019-12-30,54,2500000,24.32,114.44,53.46
